name,cuisines,rate,approx_cost(for two people),votes
Roving Feast,"Italian, Continental, Fast Food, Chinese, Momos",4.0,450.0,1047
FreshMenu,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",3.9,450.0,627
Banashankari Donne Biriyani,"Biryani, Fast Food",3.8,300.0,104
Wamama,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",4.2,800.0,354
Five Star Chicken,"Fast Food, Burger",3.6,200.0,55
XO Belgian Waffle,"Desserts, Beverages",3.7,400.0,17
Peppy Peppers,"Italian, North Indian, Mexican",4.2,800.0,244
Goa 0 Km,"Goan, Seafood, North Indian, Chinese, Biryani",3.6,800.0,163
Chinese Kitchen,Chinese,3.8,150.0,58
1947,"North Indian, Chinese",4.0,850.0,808
Cake of the Day,Bakery,3.7,150.0,78
Kabab Magic,"North Indian, Kebab, Chinese, Fast Food",4.1,400.0,1720
Namma Brahmin's Idli,South Indian,3.6,100.0,34
Gustoes Beer House,"Continental, Italian, Mexican, North Indian, Chinese, Steak",4.1,1200.0,868
Sugar Rush,"Bakery, Desserts",3.8,300.0,39
Burger King,"Burger, Fast Food, Beverages",3.2,600.0,71
The Good Bowl,"Italian, North Indian, Biryani",3.6,500.0,6
The Biryani Cafe,"Biryani, Chinese, Kebab",4.1,300.0,520
Spicy Tandoor,North Indian,0.0,150.0,0
LSD Cafe,"Chinese, Continental, Italian, North Indian",2.9,700.0,84
Rolls On Wheels,"Fast Food, Rolls, Momos",3.6,300.0,299
Om Sri Vinayaka Chats,"Street Food, Fast Food",0.0,500.0,0
Sri Guru Kottureshwara Davangere Benne Dosa,South Indian,4.1,150.0,558
Devanna Dum Biriyani Centre,"Biryani, South Indian",3.6,300.0,28
Kolbeh,Fast Food,3.7,500.0,22
Upahar Sagar,"South Indian, Chinese, North Indian",3.8,350.0,39
Kadalu Sea Food Restaurant,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",3.8,500.0,153
Frozen Bottle,"Beverages, Desserts, Ice Cream",4.2,400.0,146
Parimala Sweets,"Mithai, Street Food",3.5,200.0,14
Vaishali Deluxe,"North Indian, Chinese",3.8,700.0,42
Chill Out,"South Indian, Chinese",0.0,100.0,0
The Big O Bakes,"Bakery, Desserts",4.0,300.0,66
Meghana Foods,"Biryani, North Indian, Chinese",4.4,600.0,4401
Krishna Sagar,North Indian,3.5,200.0,31
Dessert Rose,Desserts,3.5,500.0,7
Chickpet Donne Biryani House,Biryani,3.7,250.0,21
Me And My Cake,"Bakery, Desserts",0.0,500.0,0
Sunsadm,South Indian,0.0,400.0,0
Annapooraneshwari Mess,South Indian,0.0,200.0,0
Thanco's Natural Ice Creams,Ice Cream,3.2,300.0,9
Nandhini Deluxe,North Indian,2.6,600.0,283
Vi Ra's Bar and Restaurant,"South Indian, North Indian, Chinese",3.3,800.0,62
Kaggis,"Fast Food, Bakery",3.8,250.0,64
Ayda Persian Kitchen,"North Indian, Iranian",3.7,950.0,39
Chatar Patar,"Fast Food, Street Food",3.7,300.0,65
Polar Bear,"Ice Cream, Desserts, Beverages, Sandwich",3.8,400.0,71
Kidambi's Kitchen,South Indian,3.5,300.0,52
Mane Thindi,South Indian,3.7,200.0,130
Kotian Karavali Restaurant,"South Indian, Biryani",3.5,300.0,10
Floured-Baked With Love,Bakery,3.8,400.0,45
CAFE NOVA,"Cafe, Bakery",3.2,600.0,11
Cakes & Slices,"Bakery, Desserts",3.5,300.0,13
Spice 9,"Biryani, North Indian, Chinese, Fast Food",3.4,300.0,8
Coffee Shopee,Beverages,0.0,250.0,0
Naveen Kabab & Biriyani Mane,Biryani,3.2,300.0,9
Katriguppe Donne Biryani,North Indian,3.2,300.0,4
Hari Super Sandwich,"Sandwich, Pizza, Beverages",0.0,200.0,0
Atithi Point Ande Ka Funda,North Indian,3.1,150.0,29
Just Bake,"Bakery, Desserts",3.4,400.0,8
Dharwad Line Bazaar Mishra Pedha,Mithai,0.0,150.0,0
Cake Bite,Bakery,0.0,300.0,0
Aarush's Food Plaza,"North Indian, Street Food",0.0,200.0,0
Wood Stove,South Indian,0.0,150.0,0
Kulfi & More,"Ice Cream, Desserts, Juices",0.0,150.0,0
Kannadigas Karavali,"Mangalorean, South Indian, North Indian",0.0,250.0,0
K27 - The Pub,"Chinese, North Indian",3.1,1000.0,30
Bengaluru Coffee House,"South Indian, North Indian, Chinese, Street Food",4.1,300.0,201
New Mangalore Lunch Home,"Mangalorean, South Indian, North Indian",3.3,200.0,7
Coffee Bytes,"Fast Food, South Indian",3.1,100.0,6
Parjanya Chat Zone,"Street Food, Fast Food",3.3,200.0,17
Kwality Wall's Swirl's Happiness Station,"Ice Cream, Desserts",2.9,200.0,25
Soms Kitchen & Bakes,"South Indian, North Indian, Continental",0.0,400.0,0
Banashankari Nati Style,"Biryani, Chinese, South Indian, North Indian",0.0,350.0,0
Ruchi Maayaka,South Indian,3.3,100.0,8
Mohitesh Hut Roll,"Rolls, North Indian",0.0,150.0,0
Sri Basaveshwar Jolada Rotti Oota,South Indian,0.0,150.0,0
Roll Magic Fast Food,"Biryani, Rolls, Chinese",0.0,200.0,0
Foodlieious Multi Cuisine,North Indian,0.0,100.0,0
Thanishka Nati And Karavali Style,"Biryani, Fast Food",0.0,400.0,0
Swathi Cool Point,"Beverages, Juices",0.0,200.0,0
Kaumudis Juoice,"Beverages, Fast Food, Juices",0.0,150.0,0
Amma - Manae,South Indian,0.0,400.0,0
Sri Sai Tiffannies,"South Indian, Chinese",0.0,150.0,0
Hotel Andhra Speices,Andhra,0.0,250.0,0
Sri Murari Family Restaurant,Biryani,0.0,250.0,0
Aramane Donne Biriyani,"South Indian, Biryani",0.0,150.0,0
Darkolates,Desserts,0.0,200.0,0
Swaada Healthy Kitchen,"Healthy Food, Juices, Sandwich",0.0,350.0,0
Gawdaru Mane Beriyani,"South Indian, Biryani",0.0,300.0,0
Melting Melodies,"Pizza, Fast Food",0.0,100.0,0
New Indraprasta,"South Indian, Beverages",0.0,150.0,0
Anna Kuteera,"South Indian, North Indian, Chinese",4.0,450.0,771
Darbar,"North Indian, Chinese",3.0,800.0,98
Vijayalakshmi,South Indian,3.9,200.0,47
Sri Udupi Food Hub,"South Indian, North Indian, Chinese, Beverages",4.1,500.0,175
Udupi Upahar,"South Indian, Chinese, North Indian, Juices",3.8,300.0,58
House Of Kebabs,"North Indian, Kebab, Biryani, Chinese",3.8,650.0,540
Roll N Rock,"Chinese, North Indian, Mughlai, Rolls",3.8,400.0,124
BOX8- Desi Meals,"North Indian, Mughlai, Fast Food",4.1,500.0,340
KFC,"Burger, Fast Food",3.8,450.0,505
Bitez,Fast Food,0.0,100.0,0
Roll Over,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",4.1,500.0,438
Imperial Restaurant,"North Indian, Chinese, Biryani, Beverages",3.7,750.0,264
Lassi Shop,"Beverages, Juices, Ice Cream",3.9,150.0,169
The Fortuna,"North Indian, Chinese",3.0,250.0,67
Wahab,"North Indian, Mughlai, Chinese",3.7,350.0,97
Al Diwan Biryanis And More,Biryani,3.3,300.0,12
New Gowda's Fried Chicken,Biryani,3.3,300.0,12
Canton,"Chinese, Seafood, Biryani",3.6,800.0,195
Diabetics Dezire Sugarless Sweets and Bakes,"Desserts, Mithai",3.3,300.0,13
The Blue Wagon - Kitchen,"Cafe, Beverages",4.6,400.0,228
HOT COFFEE,"South Indian, Chinese",4.1,150.0,70
Patio 805,"Thai, Vietnamese, Asian, Chinese",4.1,1200.0,364
Lassi Corner,"Beverages, Ice Cream",3.7,150.0,107
Sagar Deluxe,"South Indian, North Indian, Chinese, Juices",3.2,300.0,167
Kanti Sweets,"Mithai, Street Food",4.0,400.0,115
Vegetalia,"Italian, Pizza",3.7,400.0,27
Aramane Donne Biryani,Biryani,3.5,200.0,57
Ande Ka Funda,"North Indian, Fast Food, Rolls",3.8,250.0,120
Cake Ghar,Bakery,3.8,400.0,15
Energy Addaa,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",4.2,500.0,64
Bhattara Bhojana,South Indian,3.6,150.0,66
Tandoori Knight,"North Indian, Chinese, Biryani, Kebab",3.0,450.0,290
Dev Sagar - Food Street,Street Food,4.1,200.0,233
Mitraa Da Pizza,"Fast Food, Pizza",3.8,250.0,115
Paradise Premium,"Biryani, Andhra, Hyderabadi, North Indian",3.1,700.0,119
Grazers,"Cafe, Burger, Continental, Italian, Desserts",3.9,650.0,291
Shakes Theory,"Beverages, Sandwich",4.5,300.0,155
@Italy,Italian,4.1,700.0,305
Chilli Flakes,"Fast Food, Italian, Beverages",3.6,500.0,46
Calcutta Cafe,"Bengali, Chinese, Sandwich",3.5,350.0,45
Old Mumbai Ice Cream,Ice Cream,3.9,150.0,38
Donne Biriyani House,"South Indian, North Indian, Chinese, Biryani",3.9,400.0,441
By 2 Coffee,South Indian,3.9,100.0,25
Kedia's Fun Food,"North Indian, Street Food, Juices",4.3,200.0,630
Davangere Butter Dosa Hotel,South Indian,3.8,150.0,25
Just Shawarma,Arabian,3.9,300.0,160
Mini Punjabi Dhaba,North Indian,4.2,350.0,287
Mulabagilu Dosa,South Indian,3.6,100.0,11
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Cafe,4.1,500.0,402
Gokul Veg,"North Indian, Chinese, Beverages",3.8,750.0,469
Olive - Era,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",3.3,550.0,511
Udupi Ruchi,"South Indian, North Indian, Chinese, Street Food",3.9,200.0,57
Madhappa Hindu Military Hotel,South Indian,3.4,300.0,14
Gama Gama,South Indian,3.9,200.0,264
The Vintage Cafe,"Cafe, French, North Indian",3.0,400.0,62
Pizza Hut,"Pizza, Fast Food",3.8,750.0,693
Mangalore Pearl,"Mangalorean, Seafood, Chinese, Biryani",3.8,650.0,242
Asha Sweets Centre,Fast Food,3.6,250.0,27
Twiststick House,"Continental, Fast Food, Street Food, Momos",4.1,500.0,163
Cool Corner,"Street Food, Fast Food",4.2,250.0,191
Pizza Mane,"Pizza, Sandwich, Burger, Fast Food",3.5,150.0,32
Dal Tadkaa,North Indian,2.5,500.0,247
Chutney Chang,"North Indian, Chinese, BBQ",4.1,1500.0,2339
Mystique Palate,"Chinese, Fast Food",4.1,300.0,337
Thamboola,"North Indian, Chinese, Continental",3.9,800.0,135
Castle Rock,"North Indian, Chinese",3.6,700.0,172
Vietnamese Kitchen,Vietnamese,3.6,700.0,105
Smacznego,"Cafe, Mexican, Italian, Momos, Beverages",4.2,550.0,504
C Corner,"Fast Food, Street Food",3.2,200.0,36
Paratha Merchant,North Indian,3.1,300.0,39
North Rasoe,"North Indian, Chinese, Biryani, Kebab",3.1,500.0,5
Inchara Restaurant,"North Indian, Chinese",0.0,300.0,0
Toscano,"Italian, Salad",4.3,1300.0,1129
Lord Of The Kitchen,"North Indian, Chinese",3.9,350.0,56
Stoned Monkey,"Desserts, Ice Cream",4.3,500.0,860
Central Jail Restaurant,"Andhra, Seafood, North Indian, Chinese",3.8,700.0,412
Bella,"Mangalorean, Seafood, South Indian",3.9,1000.0,142
Vennela Andhra Meals,Andhra,3.0,400.0,23
New Prashanth Hotel,"South Indian, Biryani, Chinese, North Indian",3.6,750.0,143
The Grillo,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",2.8,500.0,80
Re Malnad Nati Style Hotel,South Indian,3.6,400.0,16
Karma Kaapi,"Beverages, Tea",4.4,250.0,181
Tiwari's,"North Indian, Street Food",3.8,200.0,70
Pizza Stop,"Pizza, Italian",3.8,600.0,164
Biggies Burger 'n' More,"Cafe, Burger, Beverages",3.6,650.0,58
Srinathji's Cafe,"North Indian, Cafe, Chinese, Fast Food",3.8,550.0,148
Kollapuri's,"South Indian, Mangalorean",3.9,450.0,206
Sugar Stars Co,"Bakery, Desserts",0.0,300.0,0
Bombay Kulfis,Ice Cream,0.0,200.0,0
Kadamba Classic,South Indian,3.6,300.0,16
RS Shiv Sagar,"North Indian, Chinese, South Indian, Fast Food, Juices",3.7,450.0,217
Kholi Mane,"Andhra, South Indian, Biryani, North Indian",3.6,450.0,46
Harshi Super Sandwich,"Fast Food, Street Food",3.8,150.0,148
Cake Yard,Desserts,3.4,250.0,30
Rosewood International Hotel - Bar & Restaurant,"North Indian, South Indian, Andhra, Chinese",3.6,800.0,8
Sri Udupi Veg,South Indian,3.3,250.0,4
Cake Art,Bakery,3.5,400.0,15
Aahar Cafe,South Indian,0.0,100.0,0
Akash Gowdru Biryani Center,"North Indian, Chinese",0.0,300.0,0
New Sri Udupi Restaurant,"North Indian, South Indian, Chinese, Beverages, Fast Food",0.0,200.0,0
Potato House,Street Food,3.4,200.0,9
Hotel Biriyani Counter,"North Indian, Chinese, Biryani",0.0,350.0,0
Matru Sagar,"South Indian, North Indian",3.7,300.0,31
Ugadi,"North Indian, Chinese, Biryani, Andhra, Mangalorean",2.9,700.0,177
Sri Krishna Sweets,"Mithai, Desserts",3.7,250.0,22
In Time Cane Juice,"Juices, Beverages",3.5,100.0,10
Subway,"Salad, Fast Food",3.7,600.0,136
Daal Roti,"North Indian, Chinese",2.9,250.0,35
The Lassi Park,"Juices, Desserts",4.1,200.0,185
Cafe Coffee Day,"Cafe, Fast Food",3.2,900.0,17
A2B - Adyar Ananda Bhavan,"South Indian, North Indian, Chinese, Street Food",3.8,400.0,155
Srikrishna Bhavan,"South Indian, North Indian, Chinese",3.8,300.0,42
Timepass Dinner,North Indian,3.8,600.0,286
Green Gardenia,"North Indian, Chinese",3.8,700.0,160
J Spice,"North Indian, Chinese",3.8,750.0,59
Karavali Family Restaurant,"Seafood, Biryani, South Indian, North Indian, Chinese",3.5,500.0,90
Karavali Lunch Home,"South Indian, Mangalorean",3.7,350.0,51
Hatti Kaapi,"South Indian, Beverages",4.0,200.0,89
Kolkata Kathi Roll's,"Fast Food, Rolls",3.6,250.0,18
Upahara Darshini,"North Indian, Chinese, South Indian, Fast Food",3.9,600.0,40
The Chaat Shop,Fast Food,2.5,200.0,35
Anda Ka Funda,"North Indian, Chinese, Rolls",3.4,250.0,89
Shri Vinayaka Ice N Juice,"Beverages, Fast Food",3.2,150.0,11
My Tea House,"Italian, Fast Food, Cafe, European",3.6,600.0,62
Ibaco,Desserts,3.9,300.0,33
Jalaram Sweets,"Desserts, Mithai",3.8,250.0,32
Samskruti - Sanman Gardenia,"North Indian, Chinese, South Indian",4.1,550.0,139
Bendakaluru Bytes,Fast Food,3.2,300.0,154
Cocoa Bakes,"Bakery, Desserts",3.6,350.0,14
Chumma Delicious,"South Indian, Fast Food",3.7,200.0,237
New Prashanth Hotel,"Biryani, North Indian, Seafood, Andhra",3.9,650.0,388
SSV Upahar,"South Indian, Chinese",0.0,300.0,0
Dwaraka Grand,"South Indian, Chinese, Street Food, Juices",3.9,500.0,128
Gufha - The President Hotel,"North Indian, Afghani, Mughlai",4.1,1200.0,1875
Cafe Vivacity,Cafe,3.8,650.0,90
Tanna's Kitchen,"Italian, Chinese, Street Food",3.1,250.0,7
Shree Mandarathi Grand,"South Indian, North Indian",3.7,400.0,38
Mojo Pizza - 2X Toppings,Pizza,4.2,600.0,179
Iceberg Icecreams,"Desserts, Ice Cream",4.0,250.0,43
South Kitchen,South Indian,4.3,100.0,275
Chung Wah,"Chinese, Thai, Momos",3.7,850.0,323
Shanthi Sagar,"South Indian, North Indian, Chinese",3.1,400.0,28
Millet Mama,"South Indian, Healthy Food",3.9,200.0,18
Bangarpet Chat Express,"Street Food, Fast Food",3.3,100.0,6
South Cool Point,Beverages,0.0,100.0,0
Prems Graama Bhojanam,South Indian,4.3,400.0,322
Java City,"Cafe, American, Pizza",2.6,450.0,157
Kamat Bugle Rock,"South Indian, Fast Food",3.9,300.0,543
Woodee Pizza,"Cafe, Pizza, Fast Food, Beverages",3.7,500.0,180
Puliyogare Point,South Indian,4.2,100.0,444
Bangalore Agarwal Bhavan,"Street Food, North Indian, South Indian",3.9,400.0,134
Rustic Stove,"North Indian, South Indian, Biryani, Beverages",3.8,900.0,577
Udupi Ruchi Grand,"South Indian, North Indian, Chinese, Street Food",4.2,200.0,60
De Thaali,"North Indian, Chinese, Rolls",3.9,550.0,144
Spice Elephant,"Chinese, North Indian, Thai",4.1,800.0,787
Just Thindi,South Indian,3.6,200.0,16
Matru Sagar,"South Indian, North Indian, Chinese",3.6,250.0,84
Vasanth Vihar - Since 1965,"South Indian, Street Food",3.6,150.0,95
Sea Spice by 7 Star,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0,1200.0,349
Desi Dawat,"North Indian, Fast Food",3.7,400.0,248
Cafe Aira,"Cafe, Continental, Beverages, Desserts",4.1,500.0,216
Donne Biriyani combos,Biryani,0.0,400.0,0
Penthouse Cafe,"Cafe, Italian, Continental",4.0,700.0,324
Mast Punjabi,"North Indian, Chinese, Rolls, Biryani, Kebab",2.6,400.0,231
South Grand,"South Indian, North Indian, Chinese, Beverages",3.4,400.0,102
Catch-up-ino,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,800.0,133
The Pizzeria,"Pizza, Italian, Salad",2.8,800.0,45
Cafe Zone,"Fast Food, Chinese, Rolls",3.9,300.0,149
Ruchis Point,"Fast Food, Chinese",3.8,200.0,75
Firangi Bake,"Mexican, Italian",4.0,600.0,53
The Royal Corner - Pai Viceroy,"North Indian, Chinese",4.2,900.0,815
Hara Fine Dine,"North Indian, Chinese",4.0,800.0,633
Chocoberry,"Ice Cream, Desserts, Beverages",3.5,400.0,56
Dakshin Grand,"South Indian, North Indian, Chinese, Street Food",3.0,300.0,82
Sandwichwallas,Fast Food,3.7,200.0,35
Chai Mane,"Juices, Fast Food",3.6,150.0,20
SLV Upachar,"South Indian, Chinese, Street Food",3.1,250.0,14
Waffle-A-Go Go,"Fast Food, Desserts, Ice Cream",3.9,400.0,70
Cross Road Cafe,"Cafe, Fast Food, Chinese",3.9,300.0,91
Anand Donne Biriyani,Biryani,3.6,200.0,45
Seven Star,"North Indian, Chinese",3.4,250.0,7
Stop 'N' Joy,Fast Food,3.8,150.0,28
Sri Yaksha Shiv Sagar,"North Indian, Chinese",3.6,600.0,24
Fudge,"Desserts, Momos",3.8,200.0,36
Just Bunny,Fast Food,3.5,200.0,11
Bakers Town,"Cafe, Continental, Fast Food",3.8,650.0,77
Shree Mahalakshmi Sweets,"Mithai, Street Food",3.2,100.0,8
Kaapi Kendra,South Indian,3.7,100.0,14
Ivy,"North Indian, Chinese, Fast Food",3.8,600.0,210
The Airos,"Cafe, Italian, Pizza",4.1,650.0,130
Chai Kraft,"Beverages, Tea",4.1,100.0,30
Kirthi's Biryani,"Chinese, Cafe, Italian",3.8,700.0,144
South Point Pub,"North Indian, Seafood, Chinese",3.4,800.0,11
The Trundle,"Chinese, Thai, Continental, North Indian",3.7,700.0,133
The Krishna Grand Xpress,"South Indian, Fast Food",4.0,350.0,136
Sri Krishna Darshini,"South Indian, North Indian, Chinese",3.1,200.0,4
Shringar Sweets & Snacks,"Mithai, South Indian, Street Food, Fast Food",3.5,200.0,11
Udupi Grand,"South Indian, North Indian, Chinese",3.8,300.0,74
Ganesh Grand,"South Indian, North Indian, Desserts",3.7,300.0,30
Shreyas Upahar & Burger Point,"South Indian, Burger",3.0,200.0,7
Coffee Tindi,"Cafe, South Indian",3.8,200.0,75
Little Cafe,"Cafe, Beverages",3.7,600.0,54
Mumbai Badam Milk & Lassi Center,"Beverages, Desserts",3.6,100.0,23
Sri Krishna Sagar,"North Indian, Chinese",3.2,400.0,119
Mylari Biryani Family Restaurant,"Biryani, Fast Food",3.7,400.0,73
1980s Games Cafe,"Cafe, Fast Food",3.4,400.0,58
Kadala Tarangaa,"Mangalorean, Seafood, North Indian",3.6,600.0,129
Namma Biryani,"Biryani, Chinese, North Indian",3.6,250.0,24
Nandhanu's Rasoi,"Chinese, North Indian",3.0,400.0,175
Hotel Pork Paradise,South Indian,3.7,300.0,21
As On Fire,"Pizza, Fast Food, BBQ",3.5,400.0,41
J K Fish Land,"Seafood, Mangalorean",3.6,300.0,35
Curry Leaves,"Andhra, North Indian, Chinese",4.1,800.0,176
Lassi Shop,"Beverages, Ice Cream, Fast Food",3.5,300.0,45
Magic Meals,"Fast Food, Desserts, Beverages",3.7,400.0,47
Desi Cream Junction,"Chinese, North Indian, Pizza, Italian",3.7,650.0,36
Drunken Monkey,"Beverages, Fast Food",3.8,400.0,52
Ruchi's Corner,Fast Food,2.7,200.0,123
Tandoori Bytes,North Indian,3.6,700.0,59
Bangalore Donne Biriyani,"South Indian, Biryani",3.2,300.0,4
SGS Non Veg - Gundu Pulav,"Biryani, Fast Food",3.8,400.0,101
Keventers,"Desserts, Beverages, Ice Cream",3.7,400.0,54
Sree Sagar,South Indian,0.0,200.0,0
Navi Food Point,Fast Food,3.6,200.0,22
Shawarma Inc,"Rolls, Lebanese",3.1,250.0,31
The Cafe Nuts and Bolts,"Cafe, Fast Food, Chinese",3.0,500.0,29
AM WOW,Beverages,3.4,100.0,6
Lalbagh Grand,"South Indian, North Indian, Chinese",3.0,250.0,22
Funjabi Curries,North Indian,2.9,500.0,11
Eat Repeat,South Indian,3.9,150.0,101
Salut,"Continental, Finger Food, Seafood, Pizza",4.1,1200.0,442
Nammura Donne Biriyani,"Biryani, Fast Food",3.5,400.0,155
Lassi Stop,"Beverages, Fast Food, Juices",3.4,150.0,12
Dakshin Kitchen,South Indian,3.6,100.0,15
Sri Sai Cafe,South Indian,3.5,200.0,10
Sri Sai 99 Variety Dosa,South Indian,3.8,300.0,25
Utsav Restaurant,"North Indian, Chinese",3.8,300.0,61
Crunch and Munch,"Chinese, Street Food, Ice Cream",3.7,300.0,23
Food Geek,"Sandwich, Fast Food, Rolls",3.8,350.0,25
Sri Krishna Aramane,"South Indian, North Indian, Chinese, Fast Food",3.7,200.0,40
Great Indian Rolls,Rolls,3.3,100.0,4
Chats Point,"Fast Food, Street Food",3.4,150.0,8
Food Point,"North Indian, Chinese",3.5,300.0,32
Swarga Ruchi,South Indian,3.3,200.0,10
Kolkata King,"Fast Food, Rolls",3.4,300.0,6
Sandwich Mama's And Frozen Monster,"Ice Cream, Beverages, Fast Food",3.8,250.0,53
New Rajadhani Spicy,North Indian,3.7,700.0,67
Big Mishra Pedha,Mithai,2.9,250.0,23
VEGeatz,"South Indian, North Indian",3.4,200.0,19
Foodizo,"Desserts, Fast Food, Continental",3.6,300.0,24
Food Springs,"South Indian, Chinese",4.0,400.0,232
Chung's Chinese Corner,Chinese,3.9,700.0,221
Eurasia Pasta and Barbeque by Little Italy,"Italian, Fast Food, Salad, BBQ",4.1,1200.0,1063
Goli Vada Pav No. 1,Street Food,3.7,200.0,93
Ragoo's,"Italian, Pizza, North Indian, Salad",3.9,800.0,233
Pure & Natural,"Fast Food, Continental, Beverages, Salad, Healthy Food",3.9,500.0,211
Maiyas,"North Indian, South Indian, Fast Food, Juices",4.0,200.0,1778
Sip n Dine,"North Indian, Chinese, South Indian",3.6,800.0,218
Cafe Mondo,"Cafe, Italian, Beverages",3.7,600.0,514
Jalpaan,"North Indian, Continental",4.0,900.0,866
Kataria's Pakwan,North Indian,3.2,400.0,96
Juicy Momos,"Tibetan, Momos",3.5,250.0,80
Amande Patisserie,"Bakery, French, Desserts",4.0,300.0,73
Anand Sweets and Savouries,"Mithai, Street Food",3.9,400.0,84
Chicken Hunt,"South Indian, North Indian, Chinese, Biryani",3.5,350.0,88
Swadesh Tadka,"North Indian, Chinese, Beverages",3.5,600.0,179
Cane-O-La,Juices,3.8,100.0,61
New Biryani Mane,"North Indian, Chinese, Biryani, South Indian",3.7,450.0,128
Upahara Darshini,"South Indian, North Indian, Chinese",3.8,400.0,339
Karnataka Bhel House,Street Food,4.1,100.0,449
Sreeraj Lassi Bar,Beverages,4.1,150.0,210
Juice Junction Food Court,"Juices, South Indian, Chinese, Fast Food",3.7,200.0,57
Bunt's Biriyani Palace,"North Indian, South Indian, Chinese, Biryani, Seafood",3.0,400.0,213
Chai Point,"Tea, Beverages, Fast Food",3.2,250.0,208
Janahaar,South Indian,3.8,100.0,70
